Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Average Score,Pass Rate
21,16,58,89,70,50.8,0
56,25,24,9,44,31.6,0
82,10,76,52,71,58.2,0
67,94,27,74,64,65.2,1
48,46,51,87,53,57.0,0
59,56,46,30,45,47.2,0
25,4,83,51,74,47.4,0
53,32,49,37,26,39.4,0
97,14,95,60,20,57.2,0
45,68,5,37,61,43.2,0
85,61,81,77,73,75.4,1
45,12,94,93,2,49.2,0
93,5,92,7,43,48.0,0
32,80,74,76,49,62.2,1
10,94,27,69,40,48.0,0
15,67,98,47,55,56.4,0
63,58,89,61,75,69.2,1
10,100,88,17,18,46.6,0
86,54,81,25,5,50.2,0
3,28,58,97,16,40.4,0
42,79,65,33,7,45.2,0
12,7,93,95,99,61.2,1
93,64,42,38,80,63.4,1
58,83,87,85,92,81.0,1
85,43,8,36,73,49.0,0
35,100,91,27,41,58.8,0
42,84,87,41,65,63.8,1
54,71,47,90,21,56.6,0
100,26,92,66,12,59.2,0
44,9,99,8,53,42.6,0
26,33,0,31,88,35.6,0
92,70,66,83,19,66.0,1
93,34,98,90,89,80.8,1
77,16,17,44,92,49.2,0
83,52,90,81,67,74.6,1
64,0,57,25,19,33.0,0
86,9,58,74,40,53.4,0
4,64,16,21,97,40.4,0
40,92,67,68,10,55.4,0
55,50,20,98,75,59.6,0
25,18,59,70,46,43.6,0
70,25,39,4,20,31.6,0
77,3,22,83,14,39.8,0
92,7,40,18,45,40.4,0
27,90,67,14,98,59.2,0
36,0,66,23,26,30.2,0
39,62,60,35,97,58.6,0
92,23,23,3,66,41.4,0
33,56,48,86,52,55.0,0
22,68,94,52,61,59.4,0
40,56,59,53,69,55.4,0
100,56,9,39,6,42.0,0
37,84,60,83,2,53.2,0
50,85,46,67,91,67.8,1
75,37,35,40,68,51.0,0
12,86,57,49,29,46.6,0
61,100,24,26,50,52.2,0
77,56,46,99,38,63.2,1
15,21,84,53,20,38.6,0
71,15,58,30,41,43.0,0
73,31,58,33,8,40.6,0
80,10,95,9,85,55.8,0
16,67,47,51,24,41.0,0
20,100,64,62,88,66.8,1
50,35,80,87,65,63.4,1
14,95,38,69,0,43.2,0
22,38,56,80,33,45.8,0
40,92,72,12,69,57.0,0
5,83,51,2,80,44.2,0
62,48,75,46,54,57.0,0
63,64,80,66,89,72.4,1
14,99,31,95,67,61.2,1
17,82,42,34,77,50.4,0
57,32,13,33,60,39.0,0
3,87,58,28,82,51.6,0
5,96,48,39,82,54.0,0
64,68,26,79,5,48.4,0
12,63,61,98,18,50.4,0
75,79,42,73,88,71.4,1
19,94,67,43,22,49.0,0
1,21,56,100,71,49.8,0
6,77,55,66,15,43.8,0
82,50,81,79,71,72.6,1
96,11,52,74,4,47.4,0
26,11,16,5,96,30.8,0
4,56,27,77,68,46.4,0
58,32,61,49,18,43.6,0
85,68,65,93,46,71.4,1
38,67,32,12,83,46.4,0
53,6,78,86,13,47.2,0
86,18,53,92,19,53.6,0
28,23,81,62,73,53.4,0
56,7,89,61,28,48.2,0
73,16,65,5,57,43.2,0
68,27,61,40,68,52.8,0
81,89,83,40,48,68.2,1
90,48,75,70,2,57.0,0
9,97,88,34,79,61.4,1
1,23,73,37,21,31.0,0
25,42,54,38,90,49.8,0
28,19,90,40,53,46.0,0
19,18,83,98,65,56.6,0
29,52,33,21,66,40.2,0
5,78,26,9,72,38.0,0
96,95,47,69,58,73.0,1
99,58,1,28,67,50.6,0
64,82,25,88,9,53.6,0
52,78,58,21,50,51.8,0
47,20,21,99,97,56.8,0
29,24,27,64,44,37.6,0
67,6,48,8,35,32.8,0
82,0,9,35,72,39.6,0
45,31,31,5,47,31.8,0
37,16,73,26,53,41.0,0
49,34,84,24,27,43.6,0
14,3,92,72,26,41.4,0
25,18,91,16,42,38.4,0
40,41,49,83,39,50.4,0
38,22,95,51,46,50.4,0
62,96,68,42,47,63.0,1
33,39,74,60,49,51.0,0
66,61,57,32,74,58.0,0
15,81,93,47,9,49.0,0
81,37,18,35,58,45.8,0
62,76,45,2,73,51.6,0
64,90,7,50,80,58.2,0
72,5,88,38,59,52.4,0
27,96,53,36,8,44.0,0
81,55,58,84,1,55.8,0
60,57,59,39,35,50.0,0
36,78,91,17,97,63.8,1
